Journey,Kiwi itineraries cheaper the eDO cheapest,Cheapest eDreams,Cheapest Kiwi,Overall % of itineraries were Kiwi was cheaper
MAD-NYC RT,"69 (28.63% of Kiwi, 6.90% of eDO)",677.97,546.0,4.9464138499587795
BCN-DPS RT,"125 (30.49% of Kiwi, 15.32% of eDO)",1072.85,862.0,13.417721518987342
BCN-PAR RT,"12 (4.14% of Kiwi, 1.87% of eDO)",273.14,255.99375,9.168704156479217
NYC-SIN RT,"24 (6.70% of Kiwi, 3.86% of eDO)",1031.47,904.0,6.852248394004283
