Journey,Kiwi cheaper,eDreams cheaper,Overall Avg Price Diff,Avg Diff when eDreams Cheaper,Avg Diff when Kiwi Cheaper
MAD-NYC RT,16 (57.14%),12 (42.86%),66.54321428571431,49.84249999999997,153.8325000000001
BCN-DPS RT,13 (31.71%),28 (68.29%),-46.430731707317086,82.6664285714286,31.615384615384617
BCN-PAR RT,26 (22.81%),88 (77.19%),-34.49789473684207,55.45431818181816,36.43153846153848
NYC-SIN RT,18 (39.13%),28 (60.87%),14.840434782608662,43.080000000000034,104.93888888888885
