Journey,Total Cheap Kiwi,Cheap Missing Count,Cheap Missing Due to Hub,Cheap Missing Not Due to Hub,Cheap Missing NonHub with FR Flights,Cheaper Kiwi with FR Flights
MAD-NYC RT,41,33,27,6,0 (0.00%),14 (34.15%)
BCN-DPS RT,125,122,70,52,0 (0.00%),5 (4.00%)
BCN-PAR RT,12,4,0,4,4 (100.00%),4 (33.33%)
NYC-SIN RT,23,23,23,0,0 (0.00%),0 (0.00%)
